common_name,scientific_name,moisture_needs,moisture_needs,sunlight_needs,sunlight_needs,hardiness_zones,hardiness_zones,img,key,uses,source
Southern High Bush Blueberry,Vaccinium virgatum,"{30,40}","Wet Mesic, Mesic","{10,20,30}",Full Sun to Dappled Shade,{70},7a (0°F to 5°F),,"Wet-Mesic Soils: The soil moisture is between the hydric and mesic levels. These soils are not saturated or balanced, but very moist and retain more water than mesic soils.  Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Southern Highbush Blueberry,Vaccinium virgatum,"{30,40}","Wet Mesic, Mesic","{10,20,30}",Full Sun to Dappled Shade,{50},5a (-20°F to -15°F),,"Wet-Mesic Soils: The soil moisture is between the hydric and mesic levels. These soils are not saturated or balanced, but very moist and retain more water than mesic soils.  Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Lingonberry,Vaccinium vitis-idaea,{40},Mesic,{20},Full Sun to Partial Shade,"{25,20}",2a (-50°F to -45°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Northern Mountain Cranberry,Vaccinium vitis-idaea subsp. minus,"{30,40}","Wet Mesic, Mesic",{20},Full Sun to Partial Shade,"{25,20}",2a (-50°F to -45°F),,"Wet-Mesic Soils: The soil moisture is between the hydric and mesic levels. These soils are not saturated or balanced, but very moist and retain more water than mesic soils.  Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Valerian,Valeriana officinalis,{40},Mesic,"{10,20}",Full Sun to Partial Shade,"{25,20}",2a (-50°F to -45°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Inside-out Flower,Vancouveria planipetala,{50},Dry Mesic,{40},Partial to Full Shade,{70},7a (0°F to 5°F),,"Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.",,
Orchid,Vanda Pachara Delight,{60},Dry,"{10,20}",Full Sun to Partial Shade,{80},8a (10°F to 15°F),,"Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Orchid,Vanda Saint Valentine,{40},Mesic,"{10,20}",Full Sun to Partial Shade,{100},10a (30°F to 35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Black False Hellebore,Veratrum nigrum,{40},Mesic,{30},Partial or Dappled Shade,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Virginia Bunchflower,Veratrum virginicum,"{20,30,40}","Wet, Wet Mesic, Mesic","{20,30}",Full Sun to Dappled Shade,"{35,30}",3a (-40°F to -35°F),,"Wet Soils: Hydric or wet soils are characteristic of wetland or shoreline areas. The soils are usually saturated with water. There is periodic flooding or ponding and the moisture usually does not drain well. The roots of several dry plants cannot withstand the moisture levels of wet soil.  Wet-Mesic Soils: The soil moisture is between the hydric and mesic levels. These soils are not saturated or balanced, but very moist and retain more water than mesic soils.  Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Turkish Mullein,Verbascum bombyciferum,"{40,50}","Mesic, Dry Mesic","{10,20}",Full Sun to Partial Shade,{45},4b (-25°F to -20°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils. Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.",,
Dense Mullein,Verbascum densiflorum,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,{40},4a (-30°F to -25°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Black Mullein,Verbascum nigrum,"{40,50,60}","Mesic, Dry Mesic, Dry",{20},Full Sun to Partial Shade,{50},5a (-20°F to -15°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Dark Mullein,Verbascum nigrum,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{25,20}",2a (-50°F to -45°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Greek Mullein,Verbascum olympicum,"{40,50}","Mesic, Dry Mesic",{10},Full Sun,{55},5b (-15°F to -10°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils. Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.",,
Mullein,Verbascum x spurium,"{50,60}","Dry Mesic, Dry",{10},Full Sun,{50},5a (-20°F to -15°F),,"Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Little One,Verbena bonariensis,{40},Mesic,{10},Full Sun,{70},7a (0°F to 5°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Tall Verbena,Verbena bonariensis,"{40,50}","Mesic, Dry Mesic",{10},Full Sun,{70},7a (0°F to 5°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils. Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.",,
Hoary Vervain,Verbena stricta,"{50,60}","Dry Mesic, Dry",{10},Full Sun,{40},4a (-30°F to -25°F),,"Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Wingstem,Verbesina alternifolia,"{30,40}","Wet Mesic, Mesic",{30},Partial or Dappled Shade,{40},4a (-30°F to -25°F),,"Wet-Mesic Soils: The soil moisture is between the hydric and mesic levels. These soils are not saturated or balanced, but very moist and retain more water than mesic soils.  Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Verbesina,Verbesina turbacensis,{40},Mesic,{20},Full Sun to Partial Shade,{90},9a (20°F to 25°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Tung-Oil Tree,Vernicia fordii,{40},Mesic,"{20,30}",Full Sun to Dappled Shade,{85},8b (15°F to 20°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Narrow Leaf Ironweed,Vernonia angustifolia,"{40,50,60}","Mesic, Dry Mesic, Dry","{10,20}",Full Sun to Partial Shade,{70},7a (0°F to 5°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Creeping Speedwell,Veronica,"{40,50,60}","Mesic, Dry Mesic, Dry","{10,20}",Full Sun to Partial Shade,{40},4a (-30°F to -25°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Speedwell,Veronica austriaca Venice Blue,{40},Mesic,"{10,20}",Full Sun to Partial Shade,{55},5b (-15°F to -10°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
European Brooklime,Veronica beccabunga,"{10,20}","In Water, Wet",{10},Full Sun,{50},5a (-20°F to -15°F),,Wet Soils: Hydric or wet soils are characteristic of wetland or shoreline areas. The soils are usually saturated with water. There is periodic flooding or ponding and the moisture usually does not drain well. The roots of several dry plants cannot withstand the moisture levels of wet soil.,,
Germander Speedwell,Veronica chamaedrys,"{40,50}","Mesic, Dry Mesic",{40},Partial to Full Shade,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils. Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.",,
Lapis Tiger's Tail,Veronica kiusiana,{40},Mesic,{20},Full Sun to Partial Shade,{60},6a (-10°F to -5°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Neckweed,Veronica peregrina,"{20,30,40}","Wet, Wet Mesic, Mesic","{10,20,30,40}",Full Sun to Partial Shade,{40},4a (-30°F to -25°F),,"Wet Soils: Hydric or wet soils are characteristic of wetland or shoreline areas. The soils are usually saturated with water. There is periodic flooding or ponding and the moisture usually does not drain well. The roots of several dry plants cannot withstand the moisture levels of wet soil.  Wet-Mesic Soils: The soil moisture is between the hydric and mesic levels. These soils are not saturated or balanced, but very moist and retain more water than mesic soils.  Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Speedwell,Veronica spicata,{50},Dry Mesic,{10},Full Sun,{40},4a (-30°F to -25°F),,"Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.",,
,Veronica VENTURE™ Blue,{40},Mesic,{10},Full Sun,{40},4a (-30°F to -25°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Alpine Veronica,Veronica wormskjoldii,"{30,40,50}","Wet Mesic, Mesic, Dry Mesic",{10},Full Sun,{50},5a (-20°F to -15°F),,"Wet-Mesic Soils: The soil moisture is between the hydric and mesic levels. These soils are not saturated or balanced, but very moist and retain more water than mesic soils.  Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils. Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.",,
Culver's Root,Veronicastrum virginicum,"{30,40}","Wet Mesic, Mesic","{10,20}",Full Sun to Partial Shade,"{35,30}",3a (-40°F to -35°F),,"Wet-Mesic Soils: The soil moisture is between the hydric and mesic levels. These soils are not saturated or balanced, but very moist and retain more water than mesic soils.  Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Eskimo,Viburnum,{40},Mesic,{20},Full Sun to Partial Shade,{60},6a (-10°F to -5°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Arrowwood Viburnum,Viburnum dentatum Autumn Jazz®,{40},Mesic,{20},Full Sun to Partial Shade,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Arrowwood Viburnum,Viburnum dentatum Blue Muffin™,{40},Mesic,{20},Full Sun to Partial Shade,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Laurustinus,Viburnum tinus,{40},Mesic,{20},Full Sun to Partial Shade,{70},7a (0°F to 5°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Burkwood Viburnum,Viburnum x burkwoodii,{40},Mesic,{20},Full Sun to Partial Shade,{55},5b (-15°F to -10°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
American vetch,Vicia americana,{40},Mesic,"{20,30}",Full Sun to Dappled Shade,{45},4b (-25°F to -20°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Tufted Vetch,Vicia cracca,{40},Mesic,{30},Partial or Dappled Shade,{40},4a (-30°F to -25°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Victoria Water Lily,Victoria amazonica,{10},In Water,{10},Full Sun,{100},10a (30°F to 35°F),,Wet Soils: Hydric or wet soils are characteristic of wetland or shoreline areas. The soils are usually saturated with water. There is periodic flooding or ponding and the moisture usually does not drain well. The roots of several dry plants cannot withstand the moisture levels of wet soil.,,
Corkscrew Vine,Vigna caracalla,{40},Mesic,"{10,20}",Full Sun to Partial Shade,{95},9b (25°F to 30°F) ,,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Bambara Groundnut,Vigna subterranea,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,{80},8a (10°F to 15°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Greater Perwinkle,Vinca major,"{40,50,60}","Mesic, Dry Mesic, Dry","{20,30}",Full Sun to Dappled Shade,{65},6b (-5°F to 0°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Periwinkle,Vinca major,"{40,50,60}","Mesic, Dry Mesic, Dry",{40},Partial to Full Shade,{60},6a (-10°F to -5°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Variegated Greater Periwinkle,Vinca major,"{40,50,60}","Mesic, Dry Mesic, Dry",{40},Partial to Full Shade,{60},6a (-10°F to -5°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Creeping Myrtle,Vinca minor,"{40,50,60}","Mesic, Dry Mesic, Dry","{10,20,30,40,50}",Full Sun to Full Shade,{40},4a (-30°F to -25°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Vinca,Vinca minor,"{40,50,60}","Mesic, Dry Mesic, Dry","{10,20,30,40,50}",Full Sun to Full Shade,{40},4a (-30°F to -25°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Vinca,Vinca minor,{40},Mesic,"{30,40}",Partial to Full Shade,{40},4a (-30°F to -25°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Blue and Gold,Vinca minor,"{40,50,60}","Mesic, Dry Mesic, Dry","{10,20,30,40,50}",Full Sun to Full Shade,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Irish Molly,Viola,{40},Mesic,{20},Full Sun to Partial Shade,{80},8a (10°F to 15°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Pansy,Viola,{40},Mesic,"{20,30}",Full Sun to Dappled Shade,{80},8a (10°F to 15°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Woodland White Violet,Viola blanda,{40},Mesic,{30},Partial or Dappled Shade,{40},4a (-30°F to -25°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Canada Violet,Viola canadensis,{40},Mesic,{40},Partial to Full Shade,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Ulla,Viola cornuta,{40},Mesic,"{20,30}",Full Sun to Dappled Shade,{60},6a (-10°F to -5°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Duchesse de Parme,Viola odorata,{40},Mesic,{30},Partial or Dappled Shade,{65},6b (-5°F to 0°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Sweet Violet,Viola odorata,{40},Mesic,{30},Partial or Dappled Shade,{50},5a (-20°F to -15°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Sweet Violet,Viola odorata,{40},Mesic,{30},Partial or Dappled Shade,{50},5a (-20°F to -15°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Palmate Violet,Viola palmata,{40},Mesic,{30},Partial or Dappled Shade,{40},4a (-30°F to -25°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Bird's Foot Violet,Viola pedata,"{40,50,60}","Mesic, Dry Mesic, Dry",{20},Full Sun to Partial Shade,{40},4a (-30°F to -25°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Prairie Violet,Viola pedatifida,{50},Dry Mesic,"{10,20,30}",Full Sun to Dappled Shade,{65},6b (-5°F to 0°F),,"Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.",,
Downy yellow violet,Viola pubescens,"{30,40}","Wet Mesic, Mesic",{40},Partial to Full Shade,"{35,30}",3a (-40°F to -35°F),,"Wet-Mesic Soils: The soil moisture is between the hydric and mesic levels. These soils are not saturated or balanced, but very moist and retain more water than mesic soils.  Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Pansy,Viola x wittrockiana,{40},Mesic,{20},Full Sun to Partial Shade,{55},5b (-15°F to -10°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Pansy,Viola x wittrockiana,{50},Dry Mesic,{20},Full Sun to Partial Shade,{50},5a (-20°F to -15°F),,"Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.",,
European Mistletoe,Viscum album,{40},Mesic,"{20,30}",Full Sun to Dappled Shade,{60},6a (-10°F to -5°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Chaste Tree,Vitex agnus-castus,"{40,50,60}","Mesic, Dry Mesic, Dry","{10,20}",Full Sun to Partial Shade,{70},7a (0°F to 5°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
